question,category,expected_status,expected_clause_number,should_abstain,actual_status,actual_clause_number,confidence_label,validation_passed,status_correct,citation_correct,key_facts_ok,retrieval_correct,evidence_selection_correct,classification,failure_stage,retrieval_time_seconds,llm_time_seconds,total_time_seconds,retrieved_chunk_count,prompt_tokens,completion_tokens,answer_char_count,answer_text,reliability_note,notes
Is dental treatment covered?,Coverage,Insufficient Evidence,NONE,True,Insufficient Evidence,,Insufficient Evidence,True,True,True,True,True,True,Appropriate Abstention,,5.017409801483154,1.6922571659088135,1.702867031097412,3,281,30,87,The evidence provided does not specify whether dental treatment is covered or excluded.,Validated.,Plain framing is genuinely ambiguous without the accident-context qualifier
Is dental treatment fully covered with no conditions?,Exception,Insufficient Evidence,2.3|4.2(c),True,Insufficient Evidence,,Insufficient Evidence,True,True,False,True,True,True,Appropriate Abstention,,0.014415979385375977,3.2205348014831543,3.2375454902648926,3,285,56,254,"The insurance policy does not explicitly state that dental treatment is fully covered with no conditions. It mentions specific exclusions related to accidental bodily injury and routine dental check-ups and cleaning, indicating some coverage limitations.",Validated.,Coverage clause AND its exclusion both apply -- conflict case
What does the policy cover for day care procedures?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.013273239135742188,3.7725377082824707,3.789466619491577,3,312,45,148,"Day Care Treatment: Medical treatment and/or surgical procedures listed in Annexure A, requiring less than 24 hours of hospitalisation, are covered.",Validated.,
Will hospital expenses be reimbursed?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.01818370819091797,3.010063648223877,3.0273516178131104,3,294,35,105,"Yes, hospitalisation expenses incurred by the Insured Person during the Policy Period will be reimbursed.","Note: related exclusion language was also found in Clause 4.3, 4.1 among the retrieved evidence -- review it before relying on this answer.",
Are surgeries requiring less than 24 hours in hospital covered?,Coverage,Covered,2.2,False,Covered,2.2,Verified Evidence,True,True,True,True,True,True,Correct,,0.014003515243530273,3.4324376583099365,3.451711416244507,3,314,36,105,"Yes, surgeries requiring less than 24 hours in hospital are covered under the Day Care Treatment section.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,"Paraphrase, no keyword overlap with day care"
Does the policy pay for hospitalisation costs?,Coverage,Covered,2.1,False,Covered,2.1,Verified Evidence,True,True,True,True,True,True,Correct,,0.012942314147949219,3.1042425632476807,3.1178829669952393,3,307,35,124,"Yes, the policy covers medically necessary hospitalisation expenses incurred by the insured person during the policy period.",Note: related exclusion language was also found in Clause 4.3 among the retrieved evidence -- review it before relying on this answer.,
Is cosmetic surgery excluded?,Exclusion,Explicitly Excluded,4.1,False,Insufficient Evidence,4.1,Limited Evidence,True,False,True,False,True,True,Incorrect Abstention,Generation Failure,0.012825727462768555,2.2606616020202637,2.2750823497772217,3,258,30,107,"The policy contains related information, but it doesn't provide enough evidence to answer this confidently.","Downgraded from 'Covered': the cited clause (4.1) is from an exclusions section, which is not positive evidence of coverage.",
Are routine dental check-ups covered?,Exclusion,Explicitly Excluded,4.2(a),False,Insufficient Evidence,,Insufficient Evidence,True,False,False,True,True,True,Incorrect Abstention,Generation Failure,0.015596866607666016,2.5746188163757324,2.5908823013305664,3,283,30,84,The evidence provided does not specify whether routine dental check-ups are covered.,Validated.,"Coverage-phrased question, correct answer is an exclusion"
Does the policy cover spectacles or contact lenses?,Exclusion,Explicitly Excluded,4.2(b),False,Explicitly Excluded,4.2(b),Verified Evidence,True,True,True,True,True,True,Correct,,0.011835575103759766,2.2944250106811523,2.3082849979400635,3,254,30,66,"Yes, the policy explicitly excludes spectacles and contact lenses.",Validated.,
Can I get reimbursed for hearing aids?,Exclusion,Explicitly Excluded,4.2(b),False,Insufficient Evidence,4.2(b),Limited Evidence,True,False,True,True,True,True,Incorrect Abstention,Generation Failure,0.015360832214355469,2.407100200653076,2.4256699085235596,3,282,29,76,The evidence states that hearing aids are explicitly excluded from coverage.,Validated.,
