"question","expected_status","expected_clause_number","expected_page_number","expected_key_facts","should_abstain","category","notes"
"Is dental treatment covered?","Insufficient Evidence","NONE","","","True","Coverage","Plain framing is genuinely ambiguous without the accident-context qualifier"
"Is dental treatment fully covered with no conditions?","Insufficient Evidence","2.3|4.2(c)","","","True","Exception","Coverage clause AND its exclusion both apply -- conflict case"
"What does the policy cover for day care procedures?","Covered","2.2","3","24","False","Coverage",""
"Will hospital expenses be reimbursed?","Covered","2.1","3","","False","Coverage",""
"Are surgeries requiring less than 24 hours in hospital covered?","Covered","2.2","3","","False","Coverage","Paraphrase, no keyword overlap with day care"
"Does the policy pay for hospitalisation costs?","Covered","2.1","3","","False","Coverage",""
"Is cosmetic surgery excluded?","Explicitly Excluded","4.1","5","accident","False","Exclusion",""
"Are routine dental check-ups covered?","Explicitly Excluded","4.2(a)","5","","False","Exclusion","Coverage-phrased question, correct answer is an exclusion"
"Does the policy cover spectacles or contact lenses?","Explicitly Excluded","4.2(b)","5","","False","Exclusion",""
"Can I get reimbursed for hearing aids?","Explicitly Excluded","4.2(b)","5","","False","Exclusion",""
"What dental treatments are not covered?","Explicitly Excluded","4.2(c)|4.2(a)","5","","False","Exclusion",""
"Is there a waiting period for pre-existing conditions?","Covered","3.1","4","48","False","Waiting Period",""
"How long do I have to wait before pre-existing disease treatment is covered?","Covered","3.1","4","48","False","Waiting Period","Paraphrase"
"What is the initial waiting period for illnesses?","Covered","3.2","4","30","False","Waiting Period",""
"Is there a waiting period before any claims can be made?","Covered","3.2","4","30","False","Waiting Period","Paraphrase, no keyword overlap"
"What is the waiting period for cataract surgery?","Covered","3.3","4","24","False","Waiting Period",""
"Is there a waiting period for hernia treatment?","Covered","3.3","4","24","False","Waiting Period","Paraphrase"
"Are joint replacement surgeries covered immediately after buying the policy?","Insufficient Evidence","3.3","4","24","True","Waiting Period","Correct answer must explain the waiting period, not a flat yes/no"
"What happens if I make a claim during the first year?","Explicitly Excluded","4.3","5","90","False","Exception",""
"Are claims payable if I get sick within 90 days of buying the policy?","Explicitly Excluded","4.3","5","90","False","Exception","Paraphrase"
"If I have an accident in the first month, is the claim payable?","Covered","4.3","5","accident","False","Exception","Accident exception carves coverage out of the first-year exclusion"
"Who is considered an insured person under this policy?","Covered","1.1","2","","False","Eligibility",""
"What does waiting period mean in this policy?","Covered","1.3","2","","False","Eligibility","Definitional lookup"
"How is a pre-existing disease defined?","Covered","1.2","2","48","False","Eligibility",""
"What exclusions apply to this policy?","Explicitly Excluded","4.1|4.2(a)|4.2(b)|4.2(c)|4.3","5","","False","Ambiguous","Broad question, any Section 4 clause acceptable"
"What medical treatments are covered under this policy?","Covered","2.1|2.2|2.3","3","","False","Ambiguous","Broad question, multiple valid answers"
"Does this policy cover space travel?","No Evidence Found","NONE","","","True","Unsupported",""
"Is maternity care covered under this policy?","Not Mentioned","NONE","","","True","Unsupported",""
"Does the policy include international travel insurance?","No Evidence Found","NONE","","","True","Unsupported",""
"Is pet insurance included?","No Evidence Found","NONE","","","True","Unsupported",""
"What is the claim settlement ratio of this insurer?","No Evidence Found","NONE","","","True","Unsupported","Real-world insurer info the document itself would not contain"
"Does this policy cover COVID-19 treatment?","Not Mentioned","NONE","","","True","Unsupported",""
"Is there a maternity benefit waiting period?","No Evidence Found","NONE","","","True","Unsupported",""
"What is the maximum amount payable for hospitalisation expenses?","Insufficient Evidence","NONE","","","True","Ambiguous","Policy never states a monetary limit"
"What is covered under this policy for accidents?","Insufficient Evidence","2.3|4.1|4.3","","accident","True","Ambiguous","Accident-exception clauses are scattered across sections"
"Can I claim for a pre-existing condition immediately after buying this policy?","Covered","3.1","4","48","False","Waiting Period","Correct answer explains the 48-month waiting period applies"
"Are dentures covered?","Explicitly Excluded","4.2(c)","5","","False","Exclusion","'Dentures' is explicitly named in the exclusion language"
"What if I need emergency dental surgery after a car accident?","Covered","2.3","3","accident","False","Exception","Accident-caused dental treatment is covered per 2.3"
"Is there a limit on the number of claims I can make?","Insufficient Evidence","NONE","","","True","Ambiguous","Policy does not specify a claim-count limit"
"Does cosmetic surgery after an accident get covered?","Covered","4.1","5","accident","False","Exception","The accident exception within the exclusion clause carves out coverage"
"What is the day care treatment waiting period?","Insufficient Evidence","NONE","","","True","Ambiguous","No waiting period is stated specifically for day care treatment"
