"question","expected_clause_number","expected_page_number","expected_chunk_id","category","notes"
"Is dental treatment covered?","2.3","3","","Coverage","Semantic paraphrase test"
"What does the policy cover for day care procedures?","2.2","3","","Coverage","Paraphrase of Day Care Treatment"
"Will hospital expenses be reimbursed?","2.1","3","","Coverage","Paraphrase of Hospitalisation Expenses"
"Are surgeries requiring less than 24 hours in hospital covered?","2.2","3","","Coverage","Semantic paraphrase, no keyword overlap with day care"
"Does the policy pay for hospitalisation costs?","2.1","3","","Coverage","Paraphrase test"
"What medical treatments are covered under this policy?","2.1|2.2|2.3","3","","Coverage","Broad/ambiguous question, multiple valid answers"
"Is cosmetic surgery excluded?","4.1","5","","Exclusion","Direct match"
"Are routine dental check-ups covered?","4.2(a)","5","","Exclusion","Coverage-phrased question, correct answer is an exclusion"
"Does the policy cover spectacles or contact lenses?","4.2(b)","5","","Exclusion","Coverage-phrased question, correct answer is an exclusion"
"Can I get reimbursed for hearing aids?","4.2(b)","5","","Exclusion","Paraphrase"
"What dental treatments are not covered?","4.2(c)|4.2(a)","5","","Exclusion","Overlaps with 4.2(a); either is acceptable"
"What exclusions apply to this policy?","4.1|4.2(a)|4.2(b)|4.2(c)|4.3","5","","Exclusion","Ambiguous/broad question, any Section 4 clause acceptable"
"Is dental treatment fully covered with no conditions?","2.3|4.2(c)","","","Exclusion","Exception-overrides-coverage test: coverage clause AND its exclusion must both be findable"
"Is there a waiting period for pre-existing conditions?","3.1","4","","Waiting Period","Direct match"
"How long do I have to wait before pre-existing disease treatment is covered?","3.1","4","","Waiting Period","Paraphrase"
"What is the initial waiting period for illnesses?","3.2","4","","Waiting Period","Direct match"
"Is there a waiting period before any claims can be made?","3.2","4","","Waiting Period","Paraphrase, no keyword overlap"
"What is the waiting period for cataract surgery?","3.3","4","","Waiting Period","Direct match"
"Is there a waiting period for hernia treatment?","3.3","4","","Waiting Period","Paraphrase"
"Are joint replacement surgeries covered immediately after buying the policy?","3.3","4","","Waiting Period","Paraphrase testing that 'immediately' implies a waiting period exists"
"What happens if I make a claim during the first year?","4.3","5","","Claim Conditions","Direct match"
"Are claims payable if I get sick within 90 days of buying the policy?","4.3","5","","Claim Conditions","Paraphrase"
"If I have an accident in the first month, is the claim payable?","4.3","5","","Claim Conditions","Tests the accident-exception wording"
"Who is considered an insured person under this policy?","1.1","2","","Eligibility","Direct match"
"What does waiting period mean in this policy?","1.3","2","","Eligibility","Definitional lookup"
"How is a pre-existing disease defined?","1.2","2","","Eligibility","Definitional lookup"
"What is the policy number?","PREAMBLE","1","","General Conditions","Tests retrieval of non-clause preamble text"
"What year is this policy for?","PREAMBLE","1","","General Conditions","Paraphrase of policy year"
"Does this policy cover space travel?","NONE","","","Unsupported","Topic not present anywhere in the policy"
"Is maternity care covered under this policy?","NONE","","","Unsupported","Topic not present anywhere in the policy"
"Does the policy include international travel insurance?","NONE","","","Unsupported","Topic not present anywhere in the policy"
"Is pet insurance included?","NONE","","","Unsupported","Topic not present anywhere in the policy"
"What is the claim settlement ratio of this insurer?","NONE","","","Unsupported","Real-world insurer info the policy document itself would not contain"
"Does this policy cover COVID-19 treatment?","NONE","","","Unsupported","Topic not present anywhere in the policy"
